ISBN,Titulo,Autor,Año de Publicación,Genero
978-3-16-148410-0,El Principito,Antoine de Saint-Exupéry,1943,Ficción
978-0-7432-7356-5,El Código Da Vinci,Dan Brown,2003,Misterio
978-0-14-017739-8,1984,George Orwell,1949,Ficción
978-0-452-28423-4,Matar a un ruiseñor,Harper Lee,1960,Drama
978-1-56619-909-4,Cien años de soledad,Gabriel García Márquez,1967,Realismo mágico
1234,Romeo y Julieta,William Shaekspear,2020,Novela
6543,La cabaña,William Paul,2000,Novela
9990,Koala,Angel,1998,Ficción
8889,Calculo de una variable,Stewart,2019,Educativo
1110,Quimica,Chang,2017,Educativo
9090,Genetica,Mendez,2002,Educativo
1111,Moby Dick,Angel,2014,Infantil
